string,municipaly
Lechleiten,Reutte
Niederau,Kufstein
Leins,Imst
Langesthei,Landeck
Obergurgl,Imst
Oberau,Kufstein
Pertisau am Achensee,Schwaz
Huben in Osttirol,Lienz
Tumpen,Imst
Ötztal-Bahnhof,Imst
Bruckhäusl,Kufstein
Thal,Lienz
Asch,Lienz
Landl,Kufstein
Rinnen,Reutte
Maurach am Achensee,Schwaz
Mittewald,Lienz
Lienz - Thurn,Lienz
Oberlangkampfen,Langkampfen
Unterlangkampfen,Langkampfen
Hinterthiersee,Thiersee
Vorderthiersee,Thiersee
Scheffau,Scheffau am Wilden Kaiser
Piller,Fließ
Kelchsau,Hopfgarten im Brixental
Hollbruck,Kartitsch
Debant,Nußdorf-Debant
Gries i. Sulztal,Längenfeld
Tessenberg,Heinfels
St. Justina,Assling
Wald,Arzl im Pitztal
Zaunhof,St. Leonhard im Pitztal
Iselsberg,Iselsberg-Stronach
Auffach,Wildschönau
St. Margarethen,Buch in Tirol
Innsbruck - Wilten,Innsbruck
Innsbruck - Städt. Westfriedhof,Innsbruck
Arnbach,Sillian
Ochsengarten,Haiming
Thierbach,Wildschönau
Huben - Längenfeld,Längenfeld
Thal-Wilfern,Assling
Mitteregg,Berwang
Assling – Bannberg,Assling
Mathon,Ischgl
Haldensee,Grän
Schnann,Pettneu am Arlberg
St. Jodok,Vals
Igls,Innsbruck
Bannberg,Assling
Heiligkreuz,Hall in Tirol
Dörfl,Assling
Gaicht,Weißenbach am Lech
Assling – Penzendorf,Assling
St. Oswald,Alpbach
Martinau,Elmen
Haimingerberg,Haiming
Kleinstockach,Berwang
Dormitz - Nassereith,Nassereith
Vomperbach,Terfens
Niederthai,Umhausen
Lienz - Klosterkirche St. Marien,Lienz
Abfaltersbach St. Andrä,Abfaltersbach
Hägerau,Steeg
Mühl,Breitenwang
Alkus/Ainet,Ainet
Kelmen,Namlos
Steinach am Brenner – Mauern,Steinach am Brenner
Kiefersfelden,SKIP
Bschlabs,Pfafflar
Rieden,Ehenbichl
Lähn,Bichlbach
Ried,SKIP
Wengle,Bichlbach
Asch-Margarethenbrücke,Anras
Tassenbach,Strassen
Panzendorf,Heinfels
Tessenberg - Heinfels,Heinfels
Grießau,Häselgehr
Gries am Brenner - Vinaders,Gries am Brenner
Plangeross,St. Leonhard im Pitztal
Vent,Sölden
Strassen - St. Jakobskirche,Strassen
Kalkstein,Innervillgraten
Bichlbächle,Berwang
Assling-Schrottendorf,Assling
Ried - Anras,Anras
Admont,SKIP
Haller,Nesselwängle
Fiecht,Vomp
Oberleutasch,Leutasch
Seefeld,Seefeld in Tirol
Ortsfriedhof Niederndorf,Niederndorf
Ramsau,Ramsau im Zillertal
FH Walchsee,Walchsee
St. Anton a. Arlberg,St. Anton am Arlberg
Kematen,Kematen in Tirol
Hochgallmigg,Fließ
Untermieming,Mieming
Birgitz/Schlitters,Birgitz
Mariahilf,Innsbruck
Stu00e4dt. Westfriedhof,Innsbruck
Barwies,Mieming
Fronhausen / Mieming,Mieming
Pradler Friedhof,Innsbruck
Oberhofen,Oberhofen im Inntal
Innsbruck-Krematorium,Innsbruck
PFK St. Pius Neu Arzl,Innsbruck
Wattens/Schwaz,Wattens
Innsbruck - Pradl,Innsbruck
FH Pradl,Innsbruck
Klostergruft,Innsbruck
PFK St. Nikolaus,Innsbruck
PFK Petrus Canisius,Innsbruck
Pfk. Arzl,Innsbruck
Innsbruck-Pradl,Innsbruck
Friedhof Kufstein/Kleinholz,Kufstein
Axams-Lindenkapelle,Axams
PFK Guter Hirte,Innsbruck
Kramsach-Voldöpp,Kramsach
PFK Pradl,Innsbruck
Landeck-Perjen,Landeck
Hl. Familie / Wilten West,Innsbruck
Friedhof Kleinholz/Zellerberg,Kufstein
Innsbruck–Pradl,Innsbruck
Stiftskirche Wilten,Innsbruck
Schutzengelkirche,Innsbruck
Städt. Westfriedhof,Innsbruck
Fließ-Eichholz,Fließ
Krematorium Innsbruck,Innsbruck
PFK Maria am Gestade,Innsbruck
PFK Dreiheiligen,Innsbruck
Pfk. Maria am Gestade,Innsbruck
Schwaz/Kapfenberg,Schwaz
PFK Hötting,Innsbruck
Feichten - Kaunertal,Kaunertal
Pf. Saggen,Innsbruck
FH St. Nikolaus,Innsbruck
Wattens - Marienkirche,Wattens
PFK Arzl,Innsbruck
St. Jakob am Arlberg,St. Anton am Arlberg
Kappelle am Friedhof Rum,Innsbruck
Pfk. Igls,Innsbruck
Friedhof Ebbs,Ebbs
Stadtfriedhof Kufstein,Kufstein
Pf. Mariahilf,Innsbruck
Pradler Fhf. / Einsegnungshalle,Innsbruck
PFK St. Paulus,Innsbruck
PFK Amras,Innsbruck
St. Martin,Schwaz
Karlskirche - Volders,Volders
Friedhof St. Martin,Schwaz
Faggen/Prutz,Faggen
Pf. St. Nikolaus,Innsbruck
St. Barbara Schwaz,Schwaz
Prutz -  Faggen,Faggen
Innsbruck–Westfriedhof,Innsbruck
Friedhof Pradl,Innsbruck
PFK Allerheiligen,Innsbruck
PFK Sistrans,Innsbruck
Axams Lindenkapelle,Axams
PF. Hötting,Innsbruck
Innsbruck Westfriedhof,Innsbruck
Wald der Ewigkeit in Kundl,Kundl
Kaltenbrunn,Kaunertal
Basilika Wilten,Innsbruck
Pf. St. Pirmin,Innsbruck
PFK Hötting Neu,Innsbruck
Götzens - Krematorium,Götzens
FH Rum,Innsbruck
Friedhof Kleinholz,Kufstein
Wattens - Kapelle Haus Salurn,Wattens
FH West,Innsbruck
Schönwies/Landeck,Schönwies
Pf. Allerheiligen,Innsbruck
Wien/Zams,Zams
Schwaz/Hinterriss,Schwaz
St. Nikolaus,Innsbruck
Stanz/Landeck,Stanz bei Landeck
Neu-Rum,Rum
Stadtpfarrkirche Hall,Hall in Tirol
Pfk. Mariahilf,Innsbruck
Innsbruck-Völs,Innsbruck
Ginzling,Schwaz
PFK Heilige Familie Wilten West,Innsbruck
Wattens - Praxmar,Wattens
FH Wilten,Innsbruck
Wiltener Friedhof,Innsbruck
Wattens Christuskirche,Wattens
Innsbruck Pradl,Innsbruck
Landeck/Pians,Pians
PFK St. Norbert,Innsbruck
PFK Wilten West,Innsbruck
Stanz,Stanz bei Landeck
PFK Neu-Rum,Innsbruck
FH Igls,Innsbruck
Pfk. Hötting,Innsbruck
Stumm im Zillertal,Stumm
Axams-Kühtai,Axams
Landeck - Perjen,Landeck
Eichholz/Fließ,Fließ
FH Mariahilf,Innsbruck
PFK Hötting Alt,Innsbruck
Axams-Haus Sebastian,Axams
Gries i. S.,Gries im Sellrain
Dom zu St. Jakob,Innsbruck
Pf. Hötting,Innsbruck
Polling,Polling in Tirol
Axams - FH Wilten,Axams
Pfk. Natters,Natters
Lindenkapelle Axams,Axams
Westfriedhof,Innsbruck
Axams-FH Mariahilf,Axams
Feichten / Wenns,Wenns
Theresienkirche / Hungerburg,Innsbruck
Pfarrkirche Volders,Volders
St. Franziskuskirche Hall-Schönegg,Hall in Tirol
Pfk. Guter Hirte,Innsbruck
Urgen/Fließ,Fließ
Aschau,Schwaz
Axams - FH Pradl,Axams
Gärberbach-FH Wilten,Innsbruck
Hl. Familie - Wilten West,Innsbruck
Pfarrkirche Allerheiligen,Innsbruck
Pfk. Amras,Innsbruck
Feichten -  Kaunertal,Kaunertal
FH Mühlau,Innsbruck
Innsbruck-Wilten,Innsbruck
Mieming/Untermieming,Mieming
St. Sigmund,Innsbruck
Vomp/Schwaz,Vomp
Pfarrkirche Vu00f6ls,Völs
PFK Mariahilf,Innsbruck
PFK Rum St. Georg.,Rum
Fließerau-Landeck,Landeck
PFK St. Pius,Innsbruck
Ried i. O.,Ried im Oberinntal
Pettneu/St. Anton am Arlberg,St. Anton am Arlberg
Scharnitz-Zirl,Scharnitz
Urgen,Fließ
PFK Igls,Innsbruck
Wilten West,Innsbruck
Dalaas,SKIP
FH Städt. West,Innsbruck
Pf. Mühlau,Innsbruck
Ötztal Bahnhof,Imst
Höttinger FH,Innsbruck
